IsoWeeks,a flu,chest infection symptoms,cold flu,flu,flu nhs,flu pregnancy,flu stomach,flu symptoms,flue,man flu,symptoms of flu,what is flu,bronchitis symptoms,cold and flu,bronchitis,chest infection,colds,cough medicine,laryngitis,lemsip,pleurisy,sinusitis,fever flu,sinusitis symptoms,gastric flu,sinuses,tonsilitis,catarrh,coughing blood,coughing up,coughs,night nurse,Disease Rate
Iso Week 685,123.13663769446876,53.51482209290555,167.25743652746343,1172.229224856698,33.249920866722235,18.52649079778644,58.616116747960575,227.61023466446005,296.5076143575293,33.90859892670916,64.49993983393065,39.83270139938521,37.287454609294606,85.34103625832714,203.57263761251187,392.8903881658616,168.40272082008332,63.41180312673757,114.47296658240774,73.2623911699267,135.93218526353718,216.52936171809043,41.78971036544266,32.58244768340436,37.44753024724463,114.00791815207432,83.4761050562554,83.87863309751106,88.14648563067684,167.94460493876724,74.44858096099769,89.79157383277006,14.70389872
Iso Week 686,124.3052441424261,61.38311286123757,140.22506964280325,1107.3835218273855,25.557956167047088,32.77801374428609,61.69236616908503,263.20055005272144,219.50299832189395,58.80733107253023,57.26374692293657,45.8636918522745,31.686958467441137,89.77113112680165,197.33533732108955,419.26795695589374,149.8190770547913,73.23892176989177,117.31266096187184,75.33656197079154,121.10796270251308,189.94341305456587,49.17540304407267,43.36817354385408,36.41772821474344,121.65232542502122,86.97043641770225,87.71209610977213,74.01604789615324,128.5508642290321,76.26110222249437,83.30776305276335,11.95361995
Iso Week 687,85.88373048816445,50.8164053761575,112.2130678220549,1014.1348522109204,25.677067191955977,34.02659828786081,49.723357504525005,225.8147290802801,256.11184222430165,38.514652846891295,69.33770513379059,39.3038800137216,42.959466285220415,66.08080455191221,200.32490631486135,396.604911000636,139.81954975327082,68.04726307693632,111.62541412833524,54.287600234001886,136.9147378924448,227.35916960706723,22.72905828570299,43.44809955914577,44.0883351626374,101.52223982719008,72.31342061900604,59.46158504685546,67.91950441604153,155.10951913693177,74.8586848788292,82.67465417099663,8.953533581
Iso Week 688,81.94988049388101,38.94056467658553,109.06888780598572,770.5939938955606,28.8167586655377,18.322993187601764,32.469917540910735,175.67401610532033,259.1830239681518,31.2873855130934,46.59744750114477,17.28562542148931,24.561897214330795,62.15782013582783,162.49096631906414,367.7723368634306,120.35142858149706,55.37141117197218,86.04572641400311,29.26268262517328,127.6520685307554,202.3650861914622,24.04990791353973,44.1529771463261,15.58876883361229,111.30111044411352,61.11087647136723,57.69171059398241,69.66575308971343,117.73508345919812,49.27471601679033,64.66420621170249,7.639659721
Iso Week 689,66.56265727426153,49.37040844723061,79.21486880745822,761.8633586093076,24.30814870339342,24.63823624103522,34.130152881417175,145.6960026921221,242.8599616277931,32.93872704337985,38.52423132582391,26.61089144611437,17.630921209860947,29.98968354096761,153.74454582177472,271.69958241709605,77.96560537970932,68.40675687303623,104.26410066887048,50.05939543065701,105.8447479615232,178.3576250383753,26.813379185536235,38.466203037417166,24.5302563150486,89.40214413868925,57.261747999257125,77.45870155523484,52.20382628438589,113.63004273967066,59.53297048855171,79.04222975691683,7.266863023
Iso Week 690,52.07204368896176,50.140505264236175,53.59299539635864,675.0299960621045,24.504515720373423,23.302843363965295,42.19610901241367,128.94623545329415,267.222120368135,30.49417190124573,45.91282296541521,41.27889872089105,34.93318208299387,36.21828098325367,207.01320888293216,270.84452171759085,115.7165121507721,40.21117383166847,97.88793770790438,38.55321830257079,157.6537642982502,179.3285974437534,24.44351511922465,24.60976303790594,26.716329015048323,92.93012695348592,76.3230190521277,68.55137528233853,50.00517226894044,109.38552159735784,47.02242480887971,81.6517762047735,4.35439098
Iso Week 691,76.09839831790113,52.45441828029145,94.40725874486338,708.990028159927,21.12988616633757,21.038067991734916,26.58285671151852,124.10664467209644,244.5197662040878,28.761629047633186,29.12203957304221,29.70456142814382,20.120628515603293,51.354353801962056,136.36198004397002,270.17452983179044,118.59504299123776,56.52247323128072,91.78218956837009,46.85766409517992,131.92390083691734,160.24301270541906,22.029505860583555,29.37587921770247,23.022917953504507,105.6659529632702,71.36657866900704,50.75642469235629,61.92392264029902,97.2100966289192,42.30091364340594,79.89454339709303,5.103300683
Iso Week 692,80.8309749989104,48.66677873373765,85.82517373758654,659.7934865337529,29.885440143483446,18.439641414096712,27.900564092256463,132.9107034098924,229.4779437207902,43.042235097601456,26.696444271533245,26.636297072782916,20.23856947164027,48.38019538805055,109.01712623419068,280.685399974527,91.33846175898812,39.66063260475495,88.57989186363768,47.62484383557096,139.17795865656095,177.70090897371054,23.39355067184468,25.799962985531455,43.89260006161499,100.82425672564194,71.11816193413229,49.26631054688229,86.71488927828368,121.04462818075164,48.277880783902354,78.0403987749211,4.28436777
Iso Week 693,70.08235436938331,32.83930370497609,75.16003255335387,633.3050467213022,16.574835794811722,16.74337423532442,37.04844225854792,94.0522399765839,262.0147130728452,34.959373651979426,35.02904125147631,31.28961244936604,24.060824034592013,41.72765272323718,148.76285702510833,282.2095209108043,114.92066743314844,58.99626824660631,83.67539219967207,45.34260321045395,105.69352009792104,171.72623519143048,31.359271541015264,32.018255600322746,27.194668138711457,78.31661433201796,60.87900666298589,49.51823893021684,57.022912189021625,116.54167267796528,45.76536892495999,64.19079920357595,2.962424448
Iso Week 694,58.02652275622846,48.71784072998109,74.68264046966156,595.6112014254717,18.0524910234916,15.21215165686698,27.886572310609115,124.25239400676767,232.54070917146024,34.05059771600822,38.655749629190645,26.10694442469225,23.026455834703636,39.21961915421935,136.0875263178308,261.6208312427107,107.88012048080068,46.59495993572995,108.9191823846901,38.782555465666896,89.5053363184292,188.5491237449237,19.109926689644347,30.1295155170878,43.44242410210765,111.44036007766022,64.34211582081883,72.2792817453065,67.01309489561197,100.73702071950848,64.65531078972829,77.44503480704212,2.505709732
Iso Week 695,50.654923318077,29.152711943106787,69.74940986604922,576.1793104222633,24.44685641095277,12.535775511383203,44.39623669536036,128.48041692213914,247.3477167582726,38.26930135230496,31.328254293533696,17.356626482209045,19.278602449696887,32.136270494647064,124.59467744669725,260.3590166054928,98.63408610329331,46.956182580213614,94.7942227124106,39.45947226075501,100.67613866372926,186.0229738110203,27.47383740712824,23.69541036600416,30.567468494878035,102.7953535045082,69.55624162997492,65.54137108382369,69.01286847724248,127.32793963951006,61.03315947642248,79.0132295970786,2.345048806
Iso Week 696,54.56902116597964,31.372015390408546,67.05364684181109,593.4145500389933,18.14028490223686,13.728024116058137,29.98243574466252,99.53940197042697,252.346634072915,36.843237993168586,38.43205585522866,28.29660485220041,24.15986995006259,40.45307023507829,138.76978665560097,219.7837537716591,88.96698840501797,57.08722159300503,84.03895849940866,31.29913393099675,125.04262001166042,182.26719713775145,16.981203327971006,24.338426866489502,24.072614387280105,101.24665012715272,58.26537400116795,61.63961282160913,69.1813245671366,114.91889277518132,51.37605371758468,69.39384393416002,2.591606076
Iso Week 697,62.8583927084913,37.45682702165659,66.01613340674955,545.5501366319086,14.372280612244053,9.6241192594712,35.21621017148014,109.71370145727848,265.1125984288779,18.86052716784167,26.936692247248164,28.84763667102274,27.218231530483195,42.00151647396212,105.39387795577925,215.78437354692292,81.62493035310442,36.82493998368587,89.1646510083001,31.00370960813891,96.13504337041137,169.11799512905813,24.49095565744396,30.926761442920625,30.680124063474786,89.1689827577677,75.44091456601082,47.81214020238349,75.74773421352657,110.99882825633296,33.005074633707764,54.42836124497536,2.184524242
Iso Week 698,55.11237056344158,35.54463948434369,39.64426045000612,504.6277487001349,19.726999832964054,8.70660864807723,40.41930339406289,99.37699266200636,236.2396942123602,20.06869542567131,42.631843479187786,17.242105293503634,23.827391147834,16.94274113313258,106.75168257987798,242.6618738673316,83.27405625936983,28.31082519237165,77.13865005020405,41.72993080473935,69.72154806508131,133.9261827385048,23.163676533592792,13.8529599856337,32.94204265356195,90.35750327466316,68.56725093045263,44.82280567778947,75.19052314916631,91.69930653179048,28.21822845117459,47.78734946099348,3.359707034
Iso Week 699,50.96828132782128,27.859816626517997,63.05262246039426,534.259896276294,22.97953976589843,11.641537900316989,26.519693699189983,124.402479459276,237.1935324376989,19.74860361890955,27.21520243544985,23.19461892111569,15.75641976545942,44.776816024760585,110.1435387806882,206.77643702505392,58.11649877216769,43.3973903305356,70.51351416637814,35.8888494898535,75.54280180123202,127.54204158427304,25.277965070440167,23.80972693179781,22.454007784642243,93.02694952540932,69.97083136101345,65.20106472014244,57.50294460259799,103.1637975013653,84.24376515888619,56.9595128709792,3.194717182
Iso Week 700,64.16306050360586,22.186839295088408,53.05754696337633,502.329922679345,25.53028223473969,16.32131867054138,27.76874400940673,103.2200832176284,237.90626261006628,18.031851149205988,26.630333176580628,15.591029046698443,22.724440492636035,38.66892036754697,92.26608299468236,172.45483742528566,61.09694023097785,44.495900320255146,74.70338931387123,32.51842021343265,74.31757340409648,126.73824987713802,25.311495411059774,22.37935173085592,20.29314621124124,96.37782429737742,61.78412214653874,60.87578876402064,72.72393418217301,133.55176638760386,67.26139175709932,44.82142232865092,2.142400944
Iso Week 701,44.91892121995674,20.4177915119337,44.79843339199628,399.0264886214857,11.92855299282908,20.005596247902357,21.392178545573326,80.59589942521511,203.7312579420025,17.637123906741994,26.0229354572569,19.0453151573162,15.482748371063773,29.51333959382053,99.9636927521468,155.86307398517988,55.26921032282154,33.69484344020619,88.97702079290885,27.181887403273738,64.4422749455647,136.46945649199398,21.371095353599905,24.775741419793764,17.598141352650646,70.98883369516496,59.55975205442,79.84713975823288,78.71444085883232,97.99102014809333,59.78996015658055,49.96479015970745,1.495646423
