IsoWeeks,flu,flue,bronchitis,chest infection,colds,pleurisy,sinusitis,tonsilitis,Disease Rate
Iso Week 332,5784.229167228402,419.9366215918102,93.13731892823644,111.94213474366413,103.68193248750715,75.83717048761456,104.44982951072102,76.23155636423701,2.614404059
Iso Week 333,6907.66091337184,474.8387117671114,92.2926612081548,74.46741455581095,95.850519150478,71.91968625463012,107.19571163117756,76.23719932263548,3.396921405
Iso Week 334,6626.149678228686,366.6077360914933,86.74760871770198,94.98359802361874,80.82967446922407,68.30911911697338,109.07553766255069,73.66575665526899,2.957126107
Iso Week 335,8671.645579649461,387.1622263476161,89.84213931244128,71.08547158231899,81.62695441297898,62.8743886434964,89.81819823707667,78.18511192716905,2.547750728
Iso Week 336,15207.31591904239,686.0508212385978,75.11633945653216,94.3986542499807,81.10639553505784,58.99624464541446,108.79611930672276,67.55831392940331,2.271395409
Iso Week 337,21718.59165673423,831.4346740543873,77.88328217244987,66.30803577605846,61.80120188925643,75.37105983822035,129.63414714339936,71.30089796301976,2.22903923
Iso Week 338,38243.49276711937,1460.3063723288317,76.70350608315299,96.63644036346471,67.34233098040055,84.58510767428338,123.88743471129308,78.47140407259653,1.962783659
Iso Week 339,38274.93924434112,1486.105557331127,89.28856677013269,115.03498063847734,93.13557288833718,68.61247408495348,112.04270218082245,87.03075027358413,1.453015006
Iso Week 340,20646.60103697865,787.0336042582788,82.39276531579718,110.29722362065256,89.98912173086266,75.88973096072523,122.77883405638366,98.45283308792725,1.757957566
Iso Week 341,12436.815568855607,580.0016967603332,94.9745362761922,82.94526459616029,97.85373980920492,93.66692173085607,156.7802258162667,92.560625487278,1.718871242
Iso Week 342,8787.524207178712,402.5496414001595,69.06210633901915,149.17278567029257,73.78916763313312,54.63282356617335,143.53670183453738,59.96386041866664,1.9063797
Iso Week 343,6032.2424952685815,320.7464038821369,61.17978571304223,101.0364984992806,71.29943257154615,46.08588442205433,132.15549164200078,44.23381285248779,2.408579051
Iso Week 344,4420.526925312199,290.41674177277486,92.41720390003056,93.29899495646757,64.6306859327361,105.11146634962031,145.8433650963331,59.01289753002165,2.124421285
Iso Week 345,3332.340989617495,276.7815186411951,57.71789293528077,56.96745400169584,123.58983341297323,100.56256006504503,157.30367752220104,79.09922882672755,1.29787473
Iso Week 346,3374.559924255048,380.7658559772004,59.38611374503096,117.50901891270632,52.49189158478729,75.59972598362701,126.54472336224389,100.3175220490775,1.997147663
Iso Week 347,3681.74197623502,354.8038424234789,77.14987306569374,90.79701847282912,73.94143559645804,73.00450125423824,121.5467220449717,46.69499074089547,1.904265555
Iso Week 348,4076.783359855173,346.832074345582,87.43951146366228,143.23213155572236,98.21980915021356,93.77153611422148,127.31804458553565,85.3447798145372,2.049042073
Iso Week 349,5107.948765069436,247.50052421607805,125.5543746093753,120.25406762969855,114.31833731425525,59.41269002871037,123.24666923493116,58.57979271093949,1.753796092
Iso Week 350,5499.100832725542,382.3073675343681,132.4662194455921,135.57271172430816,123.25908785449414,52.56930070992555,123.71535056321758,56.32572249072364,2.266783685
Iso Week 351,5533.695306523116,394.3799280658948,126.80962875967212,153.3568276933429,125.62986724554204,51.91894460275196,159.4518783293287,62.72617451604662,3.952963785
Iso Week 352,5800.551411052089,349.87787931638417,108.7230591437002,133.26880412010848,153.62244329260497,70.17387846534497,143.33828432779185,53.41908332896137,4.582111437
Iso Week 353,6330.103718572206,301.39678592543845,103.81573891210166,162.4563769774982,115.59819118552836,128.52822949527604,100.93417149538436,66.68407143035827,4.853325232
Iso Week 354,8115.402024415251,452.2727508784384,126.59871951789202,160.24209130832955,133.3404088789546,72.00702137119764,155.8394389869095,64.29107872656844,5.90421283
Iso Week 355,7954.068617559717,389.6111904326335,125.02044028964671,172.24003195029928,126.33698224534952,106.15943945292148,175.1466344734135,71.60125349939436,6.93546189
Iso Week 356,7252.939621024857,452.4615281159369,146.69141550443095,173.57270852420524,98.07809643552852,68.9974169592854,127.1733475295069,70.48336047450303,7.699943907
Iso Week 357,6680.40466770136,396.3677739020577,149.4613269204238,137.5591968850917,114.56598996344418,75.35595845250852,158.52233523905196,74.12784833277358,7.009270734
Iso Week 358,6849.901828407087,422.3256039528124,120.86571878246323,150.94964906978723,92.56027870306416,90.93728568746047,165.6023327703789,70.60053968181204,7.035798534
Iso Week 359,7207.70272175141,401.7750010553863,138.47516816707306,123.4152603547407,95.02398326981924,99.73895802100176,159.51159492856436,79.4017755389468,6.323995065
Iso Week 360,5883.71228847431,483.8758906616957,115.87885684786907,152.82528703263213,84.63931195651911,104.5726295866594,118.67464224365656,93.36117142981496,6.489672945
Iso Week 361,4666.431148352693,421.938258043829,140.35267178268484,133.78103180448755,116.91185614498872,93.53627812036244,164.89755077452165,66.25571987515477,9.038331271
Iso Week 362,4336.170142128181,336.0496545423804,168.69054690086386,181.70787818949543,122.0581113924256,101.4278039853366,152.79148401943024,46.75858010877935,12.48888999
Iso Week 363,3531.333205876883,354.7307383173806,146.1271067485798,145.6723437808336,121.31696824356234,92.00692151667592,143.92852247064792,58.27542370904659,23.80599548
Iso Week 364,2863.346970091967,270.4401991425563,172.939927276922,166.0376128738185,154.03274687014573,109.77078002857466,175.18841968548043,56.54747144407644,62.44720416
Iso Week 365,2105.2953259172045,216.29953622711895,172.4980404650957,167.10031754928315,141.6759009363117,101.76000147360529,214.56340844294505,74.10334619879276,93.53049208
Iso Week 366,2469.180406308064,236.70358885107936,161.18229092583692,201.16360604889036,165.11811982964306,121.71991922835618,193.2116321297524,102.10433682643574,86.75280782
Iso Week 367,2184.94916988945,367.8397601362033,153.67569527860857,146.3824261801996,138.8134515821316,131.27207086012194,191.28307379035869,56.07823404501661,93.8640927
Iso Week 368,2238.7899292895463,348.0360695721478,162.4795548493996,156.3202214902888,100.56234388452762,111.68026945352725,197.36033337731507,69.49044856530061,60.88996314
Iso Week 369,2109.878558476309,261.10583553685177,127.53571543989776,106.87346455133572,109.5580114184282,93.98581111652962,165.5770607942948,83.47393768591631,32.61321903
Iso Week 370,1750.4701490593466,283.6706308686847,133.8487323995594,122.22689215942955,87.97015162463855,64.89944335758958,184.2258807026252,79.463033072291,21.55071905
Iso Week 371,1712.573278576417,335.9218299109143,112.68650483256306,123.46954959336206,98.27074907599192,131.0537639508823,169.32462856495067,67.76314240017379,17.92078914
Iso Week 372,1325.076217433978,204.87043035972135,127.61764641818046,106.84430789732464,106.83992826668866,106.6882114729584,175.65271840478243,48.4077671207841,13.34944871
Iso Week 373,1177.6958728477855,210.634655905854,117.85301382603625,128.4526701615124,102.96536947821838,105.39530751668454,177.8645682302154,82.26855475296931,9.023988449
Iso Week 374,1040.2501203084703,232.0060070019536,122.7617592127914,156.5656873642266,76.3399969391056,87.57821431202576,166.1140199258854,73.46294578281378,8.254802157
Iso Week 375,975.2772839907412,202.31060294346088,155.58045486466636,131.66050209634355,100.34661230503538,113.58774743004052,209.7346666350622,44.43463374771993,7.013067362
Iso Week 376,931.9980569422704,240.03019058393556,141.98411296532478,134.8686176549935,95.35461244120384,88.05117672051071,155.4208100389264,66.66025617760428,7.167037127
Iso Week 377,793.1812517448059,241.7868985862638,112.07797950085008,126.60039999290234,108.58984443909156,98.09802315910768,176.0810549323031,73.24670060342922,6.612492495
Iso Week 378,805.0200257100087,220.71785817111532,194.06878994968903,118.22208137606106,86.52528768884076,108.43174548519995,197.6745703143044,71.76932189196067,5.956355892
Iso Week 379,671.2448143152569,204.16637132270583,108.5765558208459,128.07507900190444,103.18063111816268,72.99114399708348,151.66798640013891,68.84137559393069,5.754988443
Iso Week 380,731.6262732118792,208.1229427005139,119.95860380174749,162.04928465331548,120.41749918997732,65.32897313306383,157.62093055278788,70.70357801492287,4.906646245
Iso Week 381,601.4541515828103,188.2975575138445,141.52591110602003,131.56232100928236,104.304509177767,103.37065745169195,169.88926056486864,80.2250533050986,4.655749017
Iso Week 382,592.866475544646,195.31668541224136,97.19128817066908,110.64023242854276,142.62143728895117,75.24015504071235,199.66905856180887,74.60132932382021,1.875354334
Iso Week 383,464.6678349618322,177.31907853603784,104.27002863779173,97.43165911826642,90.57877229692969,87.23753115179203,120.27423069304356,55.6929788198593,1.771090141
Iso Week 384,506.21323158909655,148.08080835337674,97.7290993685088,111.21030379654351,60.36284273792104,52.118232828397005,159.4715366460801,48.18120044786433,2.142253417
Iso Week 385,478.20947697878313,147.1382926224375,118.10928975057284,94.28036668116944,77.48759187756056,59.201776336746185,146.77059984384934,81.84217592788364,2.073540276
Iso Week 386,422.9518302473992,155.06661084212686,133.84139769119017,108.35832015342817,85.7178404183211,77.6971121890256,140.65497399355772,42.88326690127212,2.498012399
Iso Week 387,526.5486902741644,169.1792930853242,93.41268881954538,142.33017296381166,90.2472310149426,59.44597439835911,142.84428956906586,64.48791789964189,2.647328747
Iso Week 388,501.168543004146,172.57672152329408,136.78286004115793,106.81172052871185,90.49424286936669,83.77627419970771,154.89927572305416,52.29644838371093,2.223737284
Iso Week 389,481.3590770300717,142.13976286407288,110.40133149690756,135.93218511560946,84.43535545020238,87.40248156343445,128.7154549928968,57.845703117415226,2.899473794
Iso Week 390,510.4101372230787,151.49633206865704,105.68525922237004,137.44439359343622,48.38792366541547,69.39734482580971,144.7763749253647,59.59013985739134,2.543715213
