IsoWeeks,cold flu,flu,flu symptoms,flue,bronchitis,chest infection,colds,laryngitis,pleurisy,sinusitis,gastric flu,sinuses,tonsilitis,Disease Rate
Iso Week 55,139.40853516634337,762.2628289993124,73.38013220080052,437.9792809392179,153.0941338190214,470.92395065558,0.0,73.79176467448417,74.86463773372051,0.0,136.03328613607823,0.0,78.194749403847,24.30192157
Iso Week 56,0.0,878.4161470790672,87.7020691556805,321.73173727028285,316.46985425866654,0.0,366.90767176370855,155.45168405415524,74.47452238785719,474.6258359229778,72.52332046741948,76.578286431432,237.57130577997677,17.42143527
Iso Week 57,79.52808683249725,772.1268469871864,296.06396748531324,477.0972783133541,479.8557219136487,74.88782806441183,157.71599176192836,0.0,143.10179996382234,75.33896401762102,0.0,163.20283414328975,0.0,20.59031139
Iso Week 58,75.36267709192195,414.3527083065932,165.1475080336491,233.81317504873667,493.6524665908268,79.88925450429629,302.21549141569506,0.0,0.0,168.33286284249235,0.0,88.30480059535992,392.4059966352879,21.59427443
Iso Week 59,82.50093447911911,1126.4340251856545,276.4782242914539,159.61906901550242,318.3056245112122,165.84142195747108,424.7500526320383,0.0,84.71667599064413,355.50308003959407,84.61104419080837,0.0,0.0,20.67504006
Iso Week 60,296.4354075601029,651.6313959733859,387.0281051858415,515.9459686222998,285.44183661766084,308.70285916528235,284.77667400275334,0.0,479.599118208653,93.2132841046545,101.56601511363615,101.71192060999395,101.07701463327427,15.99726613
Iso Week 61,162.28406255463594,1056.8709577784953,0.0,243.4780737767161,0.0,380.91641697757865,340.5926652240413,181.735412138736,511.5306742369904,371.217388177919,0.0,0.0,163.6594073663236,16.2119585
Iso Week 62,75.49103713925119,1822.551537657264,152.24027616153958,625.0860017688532,350.7273117194027,482.9894255454301,0.0,129.599308132479,778.295646857929,877.1345340063817,0.0,74.21254119250402,656.4355187274222,17.58688794
Iso Week 63,139.3278444176662,862.966692071943,73.57566314312862,274.3716516301825,0.0,133.20244573079893,73.36142453386893,0.0,77.1863015404925,333.68395238861405,207.65601204252116,0.0,209.33827005495328,18.2904103
Iso Week 64,141.06678308764307,964.7137837749984,216.1175175230955,329.92029339276417,283.93876776660306,120.34018599847502,242.20440946756932,0.0,142.497285619767,0.0,0.0,0.0,281.12538458321814,16.28517752
Iso Week 65,68.80445349084376,429.0490727666526,0.0,209.30490214933005,374.0800197910326,69.6172642141696,201.43033747482767,66.5424370250041,201.68181091736005,136.1591482208783,76.70969195775909,76.09291215426568,69.22239827738036,13.35789351
Iso Week 66,70.23219421846677,793.4516553962454,137.15771580702128,267.1464152205545,200.03579352202087,69.49242520711604,343.42462190788564,98.64990475876094,418.2986943094913,76.11830373891567,208.5102107634636,0.0,143.7257389422346,9.69120956
Iso Week 67,132.8780265299187,984.2850317204562,202.1619752358513,363.1469490654248,547.2483480558201,133.93208153642595,131.69169864433965,262.81549706882055,75.66303711157153,380.8694495756002,0.0,134.05615660472904,133.18442178004747,6.31071599
Iso Week 68,0.0,732.8359914362863,204.9781470102052,519.9429635721879,70.56569665659191,134.6859847381434,70.5825631182078,135.4076814531968,65.78786083529,254.5190266930692,65.90119414117865,253.26156408612655,252.6567037953924,6.8340848
Iso Week 69,74.53044024970657,635.2409808472346,224.23179736585675,268.20103684962754,358.87059870379187,125.29458045642863,0.0,137.2146046214977,199.5572193419189,147.3731682652011,72.13292561389231,212.4463631362756,73.47245250697601,4.677054988
Iso Week 70,0.0,1204.9968359763504,0.0,288.4446571808203,493.9567766091287,73.45913918440951,201.6889699815802,196.40122447770435,64.29912065475519,0.0,65.77958098443695,65.01713281541349,182.64450771605289,4.478521013
Iso Week 71,74.20504598155621,1119.041695734703,261.01351071272023,516.2396651390492,341.53649546643965,65.41590447458744,460.18706691190994,133.84294521453165,192.9877221218071,139.66680488603933,0.0,65.46851272087243,65.26565084365247,2.949308329
Iso Week 72,72.46607588144742,2721.801852846277,451.7039397182375,343.63960235812885,67.88602172487845,74.07567019284313,413.6716705509774,74.1681491313427,277.81827146023085,138.7359324134536,214.0564010685028,0.0,326.5605675646861,3.551758995
Iso Week 73,0.0,1099.9475955815533,273.2777987496344,391.9901146486308,64.18313464658755,63.90716108459869,199.5367745288127,132.31678530567825,193.19589688582408,64.83642641218644,269.35076614698846,67.41934507287898,64.02334261106022,4.45495086
Iso Week 74,66.70526160997719,1663.419722496241,181.5086780023992,192.5496800155444,447.035302877924,135.1522450915099,276.77759313991135,0.0,76.55934701047235,164.31831058479727,68.93031954810151,0.0,311.9353483496052,3.522413057
Iso Week 75,140.27829927440072,904.6888101157996,0.0,355.33215606919754,72.84521367781316,202.800030581122,221.28741455558105,0.0,134.09186781473977,0.0,141.932054509784,154.40345822662806,66.14497812823545,1.79018976
Iso Week 76,151.02560684420993,648.0136351449271,147.00646210947147,293.6200592884938,219.4799623214006,72.28326041454277,120.74717628323994,282.3097179412684,120.74717617225326,302.4161594244518,0.0,73.44521249687223,359.1566203775143,2.804953098
Iso Week 77,148.7425599791537,635.1329031256682,232.2999877631678,81.66128141265291,81.4579753188752,74.85275023244587,0.0,0.0,82.17732290987351,221.8763414112777,156.3160043768727,0.0,156.00617864414644,2.547890651
Iso Week 78,70.38475993130443,849.1777204474331,0.0,65.81511459820095,200.7014376355128,70.86293372463776,203.4676563938617,206.74421151181545,0.0,401.6795450027652,77.60547957334111,128.8996007194503,142.0398636878971,1.93282708
